,Temperature,Pressure,Fraction_B,Liq_B,Vap_B,Train_Liq_B,Train_Vap_B
2905,379.59183673469386,140000.0,0.7222222222222222,0.5311457931124567,0.7222222227175578,0.5316603348573768,0.7207513677012483
4929,400.0,144444.44444444444,0.9,0.7940789069567292,0.9000000000476026,0.794586198873567,0.8988294586236483
3903,389.7959183673469,140000.0,0.6333333333333333,0.43174074725283,0.6333333335114775,0.4330185707705636,0.6344614877752643
4743,397.9591836734694,148888.88888888888,0.6333333333333333,0.4338323934270279,0.6333333334473281,0.4366386238468997,0.6340925545477281
543,355.1020408163265,148888.88888888888,0.6333333333333333,0.6333332889806089,0.7985717942958847,0.63043249633517,0.8003611747695242
4177,391.83673469387753,155555.55555555556,0.8111111111111111,0.6527383839149253,0.8111111112142142,0.6597004852545807,0.8134358190033165
552,355.1020408163265,151111.11111111112,0.5888888888888889,0.5888888495136624,0.7657288432204703,0.5859429487316454,0.7672219822239589
204,352.0408163265306,140000.0,0.6777777777777778,0.6777777307451531,0.8301717314681929,0.6746233150496213,0.8324450750724962
1092,360.2040816326531,160000.0,0.5888888888888889,0.5888888436744777,0.7642539218566294,0.5873345185084976,0.7659547201847772
4635,396.9387755102041,146666.66666666666,0.7222222222222222,0.5327596550657037,0.7222222223129701,0.5373977495182166,0.72359143749408
1516,365.3061224489796,142222.22222222222,0.7666666666666666,0.766666464607607,0.8846651234595465,0.7665504776438132,0.8864342569240262
2761,377.55102040816325,153333.33333333334,0.5444444444444444,0.5444438800815101,0.7305136061368885,0.5456865018248573,0.7312559290078828
1816,368.36734693877554,142222.22222222222,0.7666666666666666,0.7666661374681543,0.8846649344353342,0.7655128713555133,0.8873104529968341
437,354.0816326530612,146666.66666666666,0.8111111111111111,0.8111110481469617,0.90919016112104,0.8120206510149106,0.912031827204483
4352,393.8775510204082,151111.11111111112,0.5888888888888889,0.390098153831898,0.5888888890752805,0.3931484662554709,0.5893830320186505
4764,397.9591836734694,153333.33333333334,0.6777777777777778,0.4825775743667114,0.6777777778842198,0.4857673311040598,0.679196336829942
2259,372.4489795918368,151111.11111111112,0.9,0.7951247708790815,0.9000000020795952,0.7976518249580686,0.8988489332639491
1106,361.2244897959184,140000.0,0.7666666666666666,0.7666665483782913,0.8848951326693577,0.7659759461042757,0.8861325356166365
3789,387.7551020408163,157777.77777777778,0.9,0.7961245813980695,0.9000000000982185,0.8007488776250327,0.8986228592710426
4057,390.8163265306122,151111.11111111112,0.8111111111111111,0.6518107908019337,0.8111111112141609,0.6587079202073631,0.8136720100447359
1726,367.3469387755102,144444.44444444444,0.7666666666666666,0.766666379106081,0.8844380765633377,0.7672756874777154,0.8871639320958524
2760,377.55102040816325,153333.33333333334,0.5,0.4999997105821301,0.6931586189887593,0.49872047956237386,0.6938914989737757
3217,382.6530612244898,142222.22222222222,0.8111111111111111,0.6498727006341298,0.8111111112805806,0.6558542031098799,0.8112229519713692
831,358.16326530612247,146666.66666666666,0.5444444444444444,0.544444400420136,0.7317632214671052,0.5425107239816243,0.7332868247838722
13,350.0,142222.22222222222,0.6333333333333333,0.6333332952096903,0.7996245606316285,0.6284766060127451,0.8011030554958565
1209,362.2448979591837,140000.0,0.9,0.899999744281231,0.95505596295295,0.9066608341438003,0.9566521610344393
2104,371.4285714285714,140000.0,0.6777777777777778,0.6777760358369327,0.8301706182976509,0.6683184583476445,0.8273060212798133
4374,393.8775510204082,155555.55555555556,0.6777777777777778,0.4830788050143823,0.6777777779235293,0.4843706470124409,0.6792045009897337
1032,360.2040816326531,146666.66666666666,0.5888888888888889,0.5888888338143758,0.7664945385699896,0.5874519713924475,0.768111577283269
3994,389.7959183673469,160000.0,0.6777777777777778,0.4840616441160912,0.6777777780250955,0.48474020034324733,0.6771614810296018
4948,400.0,148888.88888888888,0.8555555555555556,0.7193364814102461,0.8555555556114492,0.7273053071220612,0.8558786276624842
4719,397.9591836734694,142222.22222222222,0.9,0.7937193000432934,0.900000000050128,0.7947760986715209,0.9003402892838619
985,359.18367346938777,157777.77777777778,0.7222222222222222,0.7222221626867452,0.8563218835389146,0.7211772646264631,0.8579838688271426
2200,372.4489795918368,140000.0,0.5,0.4999998178495767,0.6959082441863044,0.4957202814357482,0.6959150442936068
4989,400.0,157777.77777777778,0.9,0.79612458131765,0.900000000053122,0.7993901981828,0.9017870814681005
4315,393.8775510204082,142222.22222222222,0.7222222222222222,0.5316916744261369,0.7222222223234596,0.5346048045886149,0.7241077866965949
361,353.0612244897959,153333.33333333334,0.5444444444444444,0.5444444121184743,0.7305140377978123,0.5405690831982732,0.731648486764252
226,352.0408163265306,144444.44444444444,0.7666666666666666,0.7666666138447502,0.8844382124290749,0.7661380522468083,0.8874868639446282
3286,382.6530612244898,157777.77777777778,0.7666666666666666,0.5915968729916578,0.7666666670922732,0.5945823137688879,0.7677361886735716
1231,362.2448979591837,146666.66666666666,0.5444444444444444,0.5444443884660004,0.731763211796094,0.5423133467027703,0.7331543538322998
1643,366.3265306122449,148888.88888888888,0.6333333333333333,0.6333332338145838,0.79857175534978,0.6314436492712288,0.7994904305110624
1740,367.3469387755102,148888.88888888888,0.5,0.4999999313092328,0.6940509899141835,0.49319537950662007,0.6943821351414645
1430,364.2857142857143,146666.66666666666,0.5,0.4999999431743742,0.6945059478463224,0.49416873942011075,0.6951489423224436
579,355.1020408163265,155555.55555555556,0.9,0.8999999299663263,0.9544019509122104,0.8989666121109913,0.956698053919382
1576,365.3061224489796,155555.55555555556,0.7666666666666666,0.7666665466705489,0.8833447791973557,0.7660625720150807,0.8845129399040468
506,355.1020408163265,140000.0,0.7666666666666666,0.7666665982336354,0.8848951614263674,0.7665299145713379,0.8872333138923558
3887,388.7755102040816,157777.77777777778,0.8111111111111111,0.6531925113527933,0.811111111245563,0.6595281152113786,0.8117183347435881
3023,380.6122448979592,144444.44444444444,0.6333333333333333,0.4328013322082003,0.6333333383897178,0.4373630048090983,0.6376194987012515
4266,392.8571428571429,153333.33333333334,0.7666666666666666,0.5906256551992332,0.7666666667762434,0.5951916579199745,0.7690129981687226
786,357.1428571428572,157777.77777777778,0.7666666666666666,0.7666666086532006,0.8831339303298046,0.7664405727830361,0.885227805669739
1600,366.3265306122449,140000.0,0.5,0.4999999226152933,0.6959083349454901,0.49299115962731976,0.695924591749576
2484,374.48979591836735,157777.77777777778,0.6777777777777778,0.6777772847724977,0.8277392026908813,0.6762627174658351,0.8306993010497683
505,355.1020408163265,140000.0,0.7222222222222222,0.7222221605809684,0.8584212818538274,0.7208771072563689,0.8605728568020576
2995,379.59183673469386,160000.0,0.7222222222222222,0.581058528859072,0.7582698589025774,0.5750852584821794,0.7511705931103214
4547,395.9183673469388,148888.88888888888,0.8111111111111111,0.651336941882939,0.8111111111865333,0.6596435929116945,0.8138937442849292
4792,397.9591836734694,160000.0,0.5888888888888889,0.3919853894116988,0.5888888890451972,0.39532547133149387,0.5894129898740992
3743,387.7551020408163,148888.88888888888,0.6333333333333333,0.4338323936142908,0.6333333336286741,0.4350367851908681,0.6325542885133302
3757,387.7551020408163,151111.11111111112,0.8111111111111111,0.6518107908392787,0.8111111112398394,0.6582239296747624,0.8122765625597861
4477,394.8979591836735,155555.55555555556,0.8111111111111111,0.6527383838899763,0.8111111111970349,0.6605379631153936,0.8141224763763726
4621,396.9387755102041,144444.44444444444,0.5444444444444444,0.347521672145252,0.5444444445920883,0.3497589548515349,0.5434931984645196
760,357.1428571428572,153333.33333333334,0.5,0.4999999649979277,0.6931588404690954,0.496336556365122,0.6945222820306485
2640,376.530612244898,148888.88888888888,0.5,0.4999997007877708,0.6940507895503667,0.49845044374269803,0.694280991779791
2908,379.59183673469386,140000.0,0.8555555555555556,0.7175787138803705,0.8555555557294835,0.7239941939287633,0.8553426139554874
2309,373.4693877551021,140000.0,0.9,0.793353904981517,0.9000000003209276,0.7889311775871737,0.9011586581517655
4372,393.8775510204082,155555.55555555556,0.5888888888888889,0.3910539302712471,0.5888888890957533,0.39434987170084684,0.589159629686008
2859,378.57142857142856,151111.11111111112,0.9,0.7951247675310258,0.9000000002085142,0.7976662861239604,0.9033169256698891
3598,385.7142857142857,160000.0,0.8555555555555556,0.7213919036380746,0.8555555557057198,0.7286205677954823,0.8553017660330737
2292,372.4489795918368,160000.0,0.5888888888888889,0.5888887630092117,0.7642538605790898,0.5879423812718587,0.7659954867368273
3305,383.6734693877551,140000.0,0.7222222222222222,0.5311457927900467,0.7222222224519245,0.5323591089746061,0.7218480503353444
4642,396.9387755102041,148888.88888888888,0.5888888888888889,0.3896107107044523,0.5888888890280027,0.39221801367931514,0.5891808266656668
2193,371.4285714285714,160000.0,0.6333333333333333,0.6333331988577866,0.7969032901843708,0.6319789945783134,0.7984441432553491
